City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ostrovnoy,RU,68.0531,39.5131,21.29,86,93,23.91,overcast clouds
80,Netrakona,BD,24.8833,90.7167,63.27,85,14,3.87,few clouds
81,Mbuji-Mayi,CD,-6.15,23.6,69.46,96,96,1.79,moderate rain
82,Pevek,RU,69.7008,170.3133,5.77,94,100,3.44,overcast clouds
83,Talaya,RU,61.3833,152.75,22.48,97,100,2.62,snow
84,Anloga,GH,5.7947,0.8973,82.62,78,6,11.59,clear sky
85,Salalah,OM,17.0151,54.0924,75.67,58,2,1.72,clear sky
86,Samarai,PG,-10.6167,150.6667,82.38,78,95,4.41,overcast clouds
87,Bambous Virieux,MU,-20.3428,57.7575,77.22,83,20,8.05,few clouds
88,Cidreira,BR,-30.1811,-50.2056,67.59,69,0,24.0,clear sky
89,Hasaki,JP,35.7333,140.8333,46.8,55,100,16.96,overcast clouds
90,Alice Springs,AU,-23.7,133.8833,53.15,87,3,0.0,clear sky
91,Chokurdakh,RU,70.6333,147.9167,-2.42,88,100,9.6,overcast clouds
92,Butaritari,KI,3.0707,172.7902,81.84,76,46,14.2,scattered clouds
93,Avarua,CK,-21.2078,-159.775,71.65,94,75,4.61,broken clouds
94,Fortuna,US,40.5982,-124.1573,69.19,70,1,1.01,clear sky
95,Baykit,RU,61.67,96.37,6.26,99,100,1.79,overcast clouds
96,Hithadhoo,MV,-0.6,73.0833,82.06,76,76,13.29,broken clouds
97,Chuy,UY,-33.6971,-53.4616,66.11,65,1,18.45,clear sky
98,Clyde River,CA,70.4692,-68.5914,-3.77,77,20,13.8,few clouds
99,Alofi,NU,-19.0595,-169.9187,82.29,65,75,6.91,broken clouds
100,Esperance,AU,-33.8667,121.9,46.24,76,45,7.81,scattered clouds
101,Searcy,US,35.2506,-91.7363,54.25,45,7,5.99,clear sky
102,Airai,TL,-8.9266,125.4092,62.35,91,100,1.28,overcast clouds
103,Poum,NC,-20.2333,164.0167,79.14,77,38,5.46,scattered clouds
104,Phaltan,IN,17.9833,74.4333,74.79,73,90,5.59,overcast clouds
105,Kodiak,US,57.79,-152.4072,23.61,72,58,8.75,broken clouds
106,Talnakh,RU,69.4865,88.3972,9.45,90,100,13.22,overcast clouds
107,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,94,75,18.32,broken clouds
108,Husavik,IS,66.0449,-17.3389,48.11,89,100,36.28,overcast clouds
109,Nuuk,GL,64.1835,-51.7216,1.22,73,0,8.99,clear sky
110,Turka,UA,49.1541,23.0297,42.15,59,55,5.12,broken clouds
111,Cheshunt,GB,51.7079,-0.0374,53.94,79,96,9.98,overcast clouds
112,Santa Rosa,PH,14.3122,121.1114,80.58,82,26,5.73,scattered clouds
113,Eydhafushi,MV,5.1033,73.0708,82.18,80,87,23.42,overcast clouds
